00000000 00110001 00000011 10110011     //  add     x7,     x2,     x3
11111110 00100010 01011110 11100011     //  bge     x4,     x2,     offset(-2)
00000000 00110001 00000011 10110011     //  add     x7,     x2,     x3
00000000 00110001 00000011 10110011     //  add     x7,     x2,     x3
00000000 00010000 10010001 01100011     //  bne     x1,     x1,     offset(1)
00000000 00010000 10010001 01100011     //  bne     x1,     x1,     offset(1)
00000000 00110001 01110010 10110011     //  and     x5,     x2,     x3
00000000 00010000 11010001 01100011     //  bge     x1,     x1,     offset(1)
00000000 00110001 01110100 10110011     //  and     x9,     x2,     x3
00000000 00100000 10000110 10110011     //  add     x13,    x1,     x2
00000000 00100000 10000001 01100011     //  beq     x1,     x2,     offset(1)
00000000 00110001 01110101 00010011     //  andi    x10,    x2,     3
00000000 00110001 00000101 10010011     //  addi    x11,    x2,     3
00000000 00010000 11000001 01100011     //  blt     x1,     x1,     offset(1)
00000000 00100001 11000110 00110011     //  xor     x12,    x3,     x2
00000000 00010001 00010111 10110011     //  sll     x15,    x2,     x1
01000000 00010001 01011000 00110011     //  sra     x16,    x2,     x1
00000000 00010001 01011000 10110011     //  srl     x17,    x2,     x1
00000000 00100000 11100001 01100011     //  bltu    x1,     x2,     offset(1)
00000000 00110001 00000011 10110011     //  add     x7,     x2,     x3
00000000 00110001 00000011 10110011     //  add     x7,     x2,     x3
00000000 00110001 00000011 10110011     //  add     x7,     x2,     x3
